16.778,12.389,16.833,13.722,18.444,17.5,15.5,17.222,17.278,19.167,15.389,18.889
19.722,19.333,16.611,15.667,19.722,19.611,17.278,15.944,20.222,22.056,21.111,20.5
23.389,25.833,23.944,23.778,23.278,23.889,18.556,24.111,23.944,25.278,24.389,24.556
29.389,29.944,28.667,27.444,27.889,27.722,25.556,30.056,30.389,30.667,30.278,30.333
32.333,32.5,32.167,30.222,33.722,30.278,32.611,34.333,33.0,33.722,34.444,33.389
29.056,31.278,31.444,30.444,31.889,31.0,33.722,31.778,33.111,31.667,32.778,33.667
29.0,27.722,26.667,29.0,29.278,29.389,27.944,31.111,30.722,28.389,30.0,30.611
22.444,22.389,25.778,23.0,26.167,23.389,21.556,26.778,24.5,22.5,23.056,25.444
15.111,13.722,14.444,14.389,15.278,16.056,14.944,13.722,18.278,17.611,18.056,14.333
9.611,12.0,9.667,11.556,11.5,11.889,11.556,11.556,10.944,13.444,12.111,11.111
2.389,-0.444,1.111,4.278,-0.5,1.444,4.556,7.0,0.778,2.611,6.5,4.667
5.333,3.611,2.333,5.778,4.889,2.333,4.667,3.444,4.556,3.778,5.222,3.944
9.5,6.167,10.167,6.889,8.056,9.278,8.222,9.667,8.778,9.333,11.333,9.444
11.222,9.889,14.667,9.278,14.722,12.833,12.389,15.167,13.222,11.944,14.722,14.944
17.0,17.722,17.111,15.889,19.167,19.0,20.778,20.0,18.722,19.556,22.222,20.0
25.944,24.333,25.0,22.056,26.611,23.889,23.667,23.556,25.333,27.944,28.278,26.222
26.889,26.444,29.167,28.0,28.5,27.278,28.222,31.833,29.389,28.222,29.5,29.222
24.167,27.333,26.556,28.167,27.5,25.222,26.944,28.5,26.333,27.278,27.222,27.778
21.889,20.222,23.333,24.278,21.722,21.222,25.333,22.278,22.333,23.167,25.111,25.556
17.333,17.278,17.667,16.833,18.222,14.556,15.5,19.611,16.778,14.167,13.944,16.722
6.167,8.444,7.444,7.667,8.222,5.444,9.722,7.056,10.778,8.833,7.222,7.056
2.278,3.278,-0.944,-1.833,3.667,4.056,4.222,5.278,3.0,2.556,4.0,3.444
-1.111,3.5,0.0,1.889,0.444,3.0,4.667,-1.556,3.778,3.0,1.444,1.111
0.278,2.0,-1.0,3.889,3.222,0.722,6.444,0.444,3.667,2.778,7.056,5.333
8.389,10.611,5.667,8.111,8.722,5.722,9.444,8.778,7.944,6.611,6.944,9.5
17.222,14.667,13.222,13.611,12.889,14.389,15.5,12.833,16.667,14.778,12.056,14.611
19.056,18.222,19.333,18.333,20.278,22.056,22.667,18.611,19.333,21.333,23.111,21.833
23.389,25.722,25.167,26.556,25.611,25.722,23.556,23.5,26.333,25.556,25.0,25.222
28.444,27.833,26.722,29.056,28.722,29.056,27.722,27.778,28.5,29.278,29.167,29.667
26.833,28.0,26.167,27.611,28.111,27.833,28.056,27.5,26.0,26.0,28.556,29.611
23.944,23.0,21.278,25.167,22.389,21.778,24.222,22.611,22.889,22.5,23.389,23.111
