state,city,common_name,count
District of Columbia,Washington DC,Yellowwood,1985
District of Columbia,Washington DC,Yoshino cherry,1833
Florida,Cape Coral,Bald cypress,1724
Florida,Cape Coral,Bottlebrush,180
Florida,Cape Coral,Cabbage palm,6632
Florida,Cape Coral,Crape myrtle,503
Florida,Cape Coral,Dahoon holly,622
Florida,Cape Coral,Florida royal palm,743
Florida,Cape Coral,Foxtail palm,533
Florida,Cape Coral,Japanese privet,434
Florida,Cape Coral,Laurel oak,903
Florida,Cape Coral,Live oak,5727
Florida,Cape Coral,Mahogany,2269
Florida,Cape Coral,Queen palm,817
Florida,Cape Coral,Red maple,138
Florida,Cape Coral,Slash pine,3298
Florida,Cape Coral,Southern magnolia,122
Florida,Cape Coral,Southern red cedar,514
Florida,Cape Coral,Water oak,431
Florida,Lutz,Live oak,1
Florida,Miami,Bald cypress,1
Florida,Miami,Cabbage palmetto,41
Florida,Miami,Foxtail palm,3
Florida,Miami,Laurel oak,1
Florida,Miami,Red maple,1
Florida,Miami,Slash pine,46
Florida,Miami,Southern magnolia,1
Florida,Orlando,Cabbage palmetto,2855
Florida,Orlando,Camphor tree,879
Florida,Orlando,Carolina laurelcherry,519
Florida,Orlando,Chinese elm,2609
Florida,Orlando,Common crapemyrtle,14988
Florida,Orlando,Foxtail palm,48
Florida,Orlando,Holly,1693
Florida,Orlando,Japanese privet,620
Florida,Orlando,Laurel oak,10620
Florida,Orlando,Live oak,17126
Florida,Orlando,Mahogany,3
Florida,Orlando,Mexican fan palm,1384
Florida,Orlando,Oriental arborvitae,470
Florida,Orlando,Queen palm,817
Florida,Orlando,Red maple,1814
Florida,Orlando,Sand live oak,77
Florida,Orlando,Shumard oak,1404
Florida,Orlando,Slash pine,945
Florida,Orlando,Southern magnolia,1952
Florida,Orlando,Water oak,168
Florida,Seffner,Chinese elm,1
Florida,Seffner,Diamond oak laurel oak,4
Florida,Seffner,Live oak,3
Florida,Seffner,Water oak,4
Florida,Tampa,Bottlebrush,556
Florida,Tampa,Cabbage palm,1381
Florida,Tampa,Carolina laurelcherry,855
Florida,Tampa,Chinese elm,414
Florida,Tampa,Crapemyrtle,2851
Florida,Tampa,Diamond oak laurel oak,1099
Florida,Tampa,Florida royal palm,6
Florida,Tampa,Foxtail palm,22
Florida,Tampa,Japanese privet,149
Florida,Tampa,Live oak,5379
Florida,Tampa,Oriental arborvitae,58
Florida,Tampa,Queen palm,225
Florida,Tampa,Red maple,309
Florida,Tampa,Sand live oak,3248
Florida,Tampa,Slash pine,1236
Florida,Tampa,Southern magnolia,336
Florida,Tampa,Washington fan palm,1007
Florida,Tampa,Water oak,27
Florida,Temple Terrace,Sand live oak,3
Hawaii,Ahuimanu,Myrtle crape,7
Hawaii,Ahuimanu,Plumeria,1
Hawaii,Ahuimanu,Royal poinciana,5
Hawaii,Aiea,Monkeypod,1
Hawaii,Heeia,Myrtle crape,1
Hawaii,Honolulu,African tulip tree,94
Hawaii,Honolulu,Autograph tree,74
Hawaii,Honolulu,Chinese banyan,179
Hawaii,Honolulu,Coconut palm,635
Hawaii,Honolulu,False olive,163
Hawaii,Honolulu,Fern tree,21
Hawaii,Honolulu,Fiji fan palm,186
Hawaii,Honolulu,Formosan koa,332
Hawaii,Honolulu,Golden shower,151
Hawaii,Honolulu,Haole kou,82
Hawaii,Honolulu,Hong kong orchid tree,51
Hawaii,Honolulu,Ironwood,88
Hawaii,Honolulu,Kamani,22
Hawaii,Honolulu,Kou,87
Hawaii,Honolulu,Kukui,89
Hawaii,Honolulu,Manila palm,243
Hawaii,Honolulu,Milo,159
Hawaii,Honolulu,Monkeypod,718
Hawaii,Honolulu,Myrtle crape,3
Hawaii,Honolulu,Narra,131
Hawaii,Honolulu,Paperbark,65
Hawaii,Honolulu,Paraguay tea,11
Hawaii,Honolulu,Pink tecoma,421
Hawaii,Honolulu,Plumeria,142
Hawaii,Honolulu,Rainbow shower,576
Hawaii,Honolulu,Royal poinciana,155
Hawaii,Honolulu,Satinleaf,80
Hawaii,Honolulu,Silver buttonwood,33
Hawaii,Honolulu,West indian mahogany,144
Hawaii,Honolulu,White tecoma,161
Hawaii,Kailua,African tulip tree,11
Hawaii,Kailua,Autograph tree,60
Hawaii,Kailua,Chinese banyan,10
Hawaii,Kailua,Coconut palm,981
Hawaii,Kailua,False olive,35
Hawaii,Kailua,Fern tree,178
Hawaii,Kailua,Fiji fan palm,62
Hawaii,Kailua,Formosan koa,5
