city,common_name,count,mean_h
Anaheim,Bur oak,7,No info on height
Anaheim,Bushy yate,2,No info on height
Anaheim,Cajeput tree,186,No info on height
Anaheim,Calabrian pine,91,No info on height
Anaheim,California buckeye,1,No info on height
Anaheim,California fan palm,232,No info on height
Anaheim,California pepper,280,No info on height
Anaheim,California sycamore,634,No info on height
Anaheim,Camphor tree,2567,No info on height
Anaheim,Canary island broom,2,No info on height
Anaheim,Canary island date palm,284,No info on height
Anaheim,Canary island pine,2317,No info on height
Anaheim,Cap gum red,2,No info on height
Anaheim,Cape chestnut,14,No info on height
Anaheim,Cape pittosporum,24,No info on height
Anaheim,Carob,58,No info on height
Anaheim,Carolina laurel cherry,18,No info on height
Anaheim,Carolina poplar,5,No info on height
Anaheim,Carrotwood,1318,No info on height
Anaheim,Catalpa,2,No info on height
Anaheim,Catawba crape myrtle,1,No info on height
Anaheim,Cedar,17,No info on height
Anaheim,Cedar elm,8,No info on height
Anaheim,Champaca,1,No info on height
Anaheim,Cherimoya,3,No info on height
Anaheim,Chilean wine palm,1,No info on height
Anaheim,Chinaberry,21,No info on height
Anaheim,Chinese banyan,1,No info on height
Anaheim,Chinese elm,852,No info on height
Anaheim,Chinese flame tree,2227,No info on height
Anaheim,Chinese fringe tree,19,No info on height
Anaheim,Chinese hackberry,335,No info on height
Anaheim,Chinese hibiscus,1,No info on height
Anaheim,Chinese juniper,3,No info on height
Anaheim,Chinese parasol tree,1,No info on height
Anaheim,Chinese pistache,1123,No info on height
Anaheim,Chinese sweetgum,2,No info on height
Anaheim,Chinese tallow tree,606,No info on height
Anaheim,Chir pine,11,No info on height
Anaheim,Chitalpa,215,No info on height
Anaheim,Cliff date palm,48,No info on height
Anaheim,Cluster pine,4,No info on height
Anaheim,Coast live oak,160,No info on height
Anaheim,Coast redwood,12,No info on height
Anaheim,Cockspur coral tree,2,No info on height
Anaheim,Columbia plane,19,No info on height
Anaheim,Coral gum,27,No info on height
Anaheim,Coral tree,5,No info on height
Anaheim,Cork oak,13,No info on height
Anaheim,Coulter pine,1,No info on height
Anaheim,Crape myrtle,3320,No info on height
Anaheim,Cypress,1,No info on height
Anaheim,Date palm,160,No info on height
Anaheim,Dead tree,13,No info on height
Anaheim,Deodar cedar,98,No info on height
Anaheim,Desert gum,209,No info on height
Anaheim,Diamond pittosporum,70,No info on height
Anaheim,Dracaena,3,No info on height
Anaheim,Dragon tree,17,No info on height
Anaheim,Dwarf blue gum,2,No info on height
Anaheim,Dwarf purple leaf plum,1,No info on height
Anaheim,Dwarf schefflera,1,No info on height
Anaheim,Eastern cottonwood,1,No info on height
Anaheim,Eastern redbud,103,No info on height
Anaheim,Edible apple,2,No info on height
Anaheim,Edible fig,6,No info on height
Anaheim,Edible loquat,62,No info on height
Anaheim,Elderberry,1,No info on height
Anaheim,Elegans flamegold,1,No info on height
Anaheim,Empress tree,1,No info on height
Anaheim,Engelmann oak,4,No info on height
Anaheim,English walnut,1,No info on height
Anaheim,Eucalyptus,283,No info on height
Anaheim,European hackberry,2,No info on height
Anaheim,European white birch,18,No info on height
Anaheim,Evergreen pear,306,No info on height
Anaheim,Fairmont ginkgo,8,No info on height
Anaheim,Fern pine,812,No info on height
Anaheim,Fig,10,No info on height
Anaheim,Filibuster hybrid fan palm,7,No info on height
Anaheim,Firewheel tree,41,No info on height
Anaheim,Fishtail wine palm,4,No info on height
Anaheim,Flame tree,13,No info on height
Anaheim,Flaxleaf paperbark,22,No info on height
Anaheim,Floss tree silk,125,No info on height
Anaheim,Flowering gum fruit red lg.,1,No info on height
Anaheim,Flowering pear,1,No info on height
Anaheim,Flowering plum,1,No info on height
Anaheim,Forest pansy redbud,28,No info on height
Anaheim,Frasers photinia,46,No info on height
Anaheim,Fruitless ginkgo,14,No info on height
Anaheim,Giant bird of paradise,2,No info on height
Anaheim,Giant yucca,2,No info on height
Anaheim,Ginkgo autumn gold,211,No info on height
Anaheim,Gleditsia honey locust,8,No info on height
Anaheim,Glossy privet,15,No info on height
Anaheim,Gold medallion tree,61,No info on height
Anaheim,Golden chain tree,1,No info on height
Anaheim,Golden trumpet tree,256,No info on height
Anaheim,Goldenrain tree,141,No info on height
Anaheim,Grapefruit,1,No info on height
Anaheim,Gray pine,26,No info on height
Anaheim,Green gem indian laurel fig,3,No info on height
Anaheim,Green wattle,3,No info on height
Anaheim,Guadalupe palm,54,No info on height
Anaheim,Guaje,1,No info on height
Anaheim,Guamuchil,2,No info on height
Anaheim,Guatemalan holly,5,No info on height
Anaheim,Guava,8,No info on height
Anaheim,Hackberry species,3,No info on height
Anaheim,Heath melaleuca,22,No info on height
Anaheim,Holly,2,No info on height
Anaheim,Holly oak,1219,No info on height
Anaheim,Hollywood juniper,124,No info on height
Anaheim,Honey locust,261,No info on height
Anaheim,Hong kong orchid tree,32,No info on height
Anaheim,Hopseed,4,No info on height
Anaheim,Horsechestnut,1,No info on height
Anaheim,Horsetail tree,9,No info on height
Anaheim,Hybrid bottle tree,12,No info on height
Anaheim,Idaho locust,2,No info on height
Anaheim,Incense cedar,7,No info on height
Anaheim,Indian hawthorne,25,No info on height
Anaheim,Indian laurel fig,208,No info on height
Anaheim,Italian alder,2,No info on height
Anaheim,Italian cypress,93,No info on height
Anaheim,Italian stone pine,259,No info on height
Anaheim,Jacaranda,1676,No info on height
Anaheim,Japanese black pine,114,No info on height
Anaheim,Japanese maple,1,No info on height
Anaheim,Japanese pagoda tree,19,No info on height
Anaheim,Japanese privet,4,No info on height
Anaheim,Juniper,11,No info on height
Anaheim,Kaffir plum,7,No info on height
Anaheim,Kaffirboom coral tree,21,No info on height
Anaheim,King palm,220,No info on height
Anaheim,Knobcone pine,1,No info on height
Anaheim,Koelreuteria,1,No info on height
Anaheim,Lavender trumpet tree,256,No info on height
Anaheim,Leaf catalina ironwood fern,1,No info on height
Anaheim,Leaf plum purple,109,No info on height
Anaheim,Leafed snailseed laurel,1,No info on height
Anaheim,Leafed sweetgum round,58,No info on height
Anaheim,Leafed yellowwood long,1,No info on height
Anaheim,Leaved chaste tree five,1,No info on height
Anaheim,Lelucaena,2,No info on height
Anaheim,Lemon,7,No info on height
Anaheim,Lemon bottlebrush,144,No info on height
Anaheim,Leyland cypress,7,No info on height
Anaheim,Little gem magnolia,2,No info on height
Anaheim,Little leaf linden,3,No info on height
Anaheim,Locust,9,No info on height
Anaheim,Lombardy poplar,45,No info on height
Anaheim,London plane,1225,No info on height
Anaheim,Luehea,1,No info on height
Anaheim,Lysistemon coral tree,1,No info on height
Anaheim,Magnolia,66,No info on height
Anaheim,Magnolia baby grand,2,No info on height
Anaheim,Maidenhair tree,615,No info on height
Anaheim,Majestic beauty magnolia,3,No info on height
Anaheim,Majesty palm,26,No info on height
Anaheim,Mango,2,No info on height
Anaheim,Maple,3,No info on height
Anaheim,Maple evergreen,11,No info on height
Anaheim,Markhamia,10,No info on height
Anaheim,Mayten tree,3,No info on height
Anaheim,Mediterranean fan palm,148,No info on height
Anaheim,Melaleuca,3,No info on height
Anaheim,Mesquite,2,No info on height
Anaheim,Mexican blue palm,22,No info on height
Anaheim,Mexican fan palm,4379,No info on height
Anaheim,Mexican sycamore,21,No info on height
Anaheim,Minneola tangelo,1,No info on height
Anaheim,Mock orange,6,No info on height
Anaheim,Modesto ash,88,No info on height
Anaheim,Monterey cypress,5,No info on height
Anaheim,Monterey pine,26,No info on height
Anaheim,Montezuma cypress,2,No info on height
Anaheim,Moreton bay fig,27,No info on height
Anaheim,Mulberry,1,No info on height
Anaheim,Mulberry black,1,No info on height
Anaheim,Muskogee crape myrtle,312,No info on height
Anaheim,Myoporum,18,No info on height
